en,tw,cn,type,clues,avoid_clues,note
Background processes,背景程序，背景處理程序,后台进程,glossary,,,
Bandwidth,頻寬,带宽,glossary,,,
Base class,基底類別,基类,glossary,,,
Batch,批次（處理）,批（处理）,glossary,,,
Binary function,二元函式,二元函数,glossary,,,
Binary operator,二元運算子,二元运算符,glossary,,,
Binary search,二元搜尋法,二分查找,glossary,,,
Binary tree,二元樹,二叉树,glossary,,,
Bind,繫結 (win)；綁定 (mac),绑定,glossary,,,
Bit,位元,位,glossary,,,
Bitrate,位元率,码率,glossary,,,
Block,封鎖；阻擋,屏蔽；阻止,glossary,,,
Block,（程式碼）區塊,（代码）块,glossary,,,
Blocker,封鎖程式 (win)；阻擋器 (mac),阻止程序 (win)；拦截器 (mac),glossary,,,
Boolean,布林,布尔,glossary,,,
Bounce,退回；彈跳,退回；弹跳,glossary,,,
Breakpoint,中斷點,断点,glossary,,,
Build (verb),建構 (mac)；建置，組建 (win),构建,glossary,,,
Build (noun),構件；版本（號）,构件；版本（号）,glossary,,,
Build-in,內建,内置 (win)；内建 (mac),glossary,,,
Bundle (noun),組合包 (win)；套件 (mac)；套組,捆绑包,glossary,,,
Bundle (verb),整合,整合,glossary,,,
Bus,匯流排,总线,glossary,,,
Burn,燒錄,刻录,glossary,,,
Byte,位元組,字节,glossary,,,
Cache,快取記憶體，快取,高速缓存，缓存,glossary,,,
Call,呼叫,调用,glossary,,,
Callback,回呼,回调,glossary,,,
Carriage-return,回車字元,回車符,glossary,,,
Certificate,憑證,证书,glossary,,,
Character,字元,字符,glossary,,,
Check,查看,查看,glossary,,,
"Check box, Checkbox",核取方塊 (win)；註記框 (mac),复选框,glossary,,,
Class,類別,类,glossary,,,
Point & Click (noun),點按,点按,glossary,,,
Click; (vs. Tap),點選 (win)；按一下，點/選按 (mac),点击 (win)；点按 (mac),glossary,,,
Tap; (vs. Click),輕觸 (win)；點一下 (mac),触碰 (win)；轻点 (mac),glossary,,,
Client-side,用戶端,客户端,glossary,,,
Clipboard,剪貼簿 (win)；剪貼板 (mac),剪贴板,glossary,,,
Cloud computing,雲端運算,云计算,glossary,,,
Cohesion,內聚,内聚,glossary,,,
"Collaborate, Collaboration",（協同）合作,协作,glossary,,,
Combo box,組合方塊；下拉式方塊 (win),组合框,glossary,,,
Come with,隨附,随附,glossary,,,
Command,指令,命令,glossary,,,
Command line,命令列,命令行,glossary,,,
Comment,留言,评论,glossary,,,
Comment (code),註解，註釋,注释 (win)；注解，批注 (mac),glossary,,,
Commit,提交,提交,glossary,,,
Communication,通訊,通信,glossary,,,
Community,社群,社区,glossary,,,
Compatibility,相容性,兼容性,glossary,,,
Compatible,相容的,兼容的,glossary,,,
"Compile, Compilation",編譯,编译,glossary,,,
"Compile time, Compile-time",編譯期,编译期，编译时,glossary,,,
Compiler,編譯器,编译器,glossary,,,
Component,組件；元件,组件,glossary,,,
Composition,組合,组合,glossary,,,
Compress,壓縮,压缩,glossary,,,
Concurrency,並行性，並行,并发性，并发,glossary,,,
Concurrent,並行的；同時的,并发的；同时的,glossary,,,
Configuration,設定；組態,配置；设置,glossary,,,
"Connect, Connection",連接；（網路、資料庫）連線,连接,glossary,,,
Constant,常數,常量,glossary,,,
Constraint,約束；限制,约束；限制,glossary,,,
Constructor,建構子，建構式，建構函式,构造函数,glossary,,,
Container,容器,容器,glossary,,,
Context,背景（關係）；環境；上下文；内容,背景（关系）；环境；上下文；内容,glossary,,,
Continuous delivery,持續交付,持续交付,glossary,,,
Continuous deployment,持續部署,持续部署,glossary,,,
Continuous integration,持續整合,持续集成,glossary,,,
Control,控制元件，控制項,控件,glossary,,,
Copy,複製 (win)；拷貝 (mac),复制 (win)；拷贝 (mac),glossary,,,
Coroutine,協程，協同程式,协程，协同程序,glossary,,,
Coupling,耦合,耦合,glossary,,,
Crash,當機 (win/mac)；毀損 (win),崩溃 (win/mac)；故障 (win),glossary,,,
Create,建立,创建,glossary,,,
Cursor,游標,光标,glossary,,,
Custom,自訂,自定义,glossary,,,
Data,資料,数据,glossary,,,
Data link layer,資料連結層,数据链路层,glossary,,,
Data structure,資料結構,数据结构,glossary,,,
Database,資料庫,数据库,glossary,,,
Database schema,資料庫綱要 (mac)；資料庫結構描述 (win),数据库架构，数据库模式,glossary,,,
Deadlock,死結；鎖死,死锁,glossary,,,
Debug,除錯 (win/mac)；偵錯 (win),调试,glossary,,,
Debugger,除錯器,调试器,glossary,,,
"Declare, Declaration",宣告，聲明,声明,glossary,,,
Default,預設,默认,glossary,,,
Definition,定義；解析度,定义；清晰度,glossary,,,
"Delegate, Delegation",委派,委托,glossary,,,
Dependency,相依性；依賴關係,依赖,glossary,,,
Derived class,衍生類別,派生类,glossary,,,
Design pattern,設計模式,设计模式,glossary,,,
Destructor,解構式，解構函式,析构函数,glossary,,,
"Detect, Detection",偵測,检测,glossary,,,
Device,裝置,设备,glossary,,,
Dialog,對話方塊 (win)；對話框 (mac),对话框,glossary,,,
Digital,數位的；數位化,数字的；数字化,glossary,,,
Digital signature,數位簽章,数字签名,glossary,,,
Digital certificate,數位憑證,数字证书,glossary,,,
Directory,目錄,目录,glossary,,,
Disk,碟,盘,glossary,,,
Disk image,磁碟映像檔,磁盘映像,glossary,,,
Dispatch,分派,分派；调度,glossary,,,
"Distribute, Distribution",分發；分配；分散,分发；分配；分布,glossary,,,
Distribution,發布/發行（版本）；發行套件,发行（版本）,glossary,,,
Document,文件,文档；文稿,glossary,,,
Domain,網域,域,glossary,,,
Driver,驅動程式,驱动程序,glossary,,,
"Drop-down, Dropdown (noun)",下拉式選單,下拉菜单,glossary,,,
"Drop-down, Dropdown (verb)",下拉,下拉,glossary,,,
Drop-down menu,下拉式功能表 (win)；下拉式選單 (mac),下拉菜单 (win/mac),glossary,,,
Drop-down list,下拉式清單,下拉列表,glossary,,,
Dynamic binding,動態繫結，動態連結，動態綁定,动态绑定,glossary,,,
Element,元素；元件,元素；元件,glossary,,,
"Email, E-mail",電子郵件,电子邮件,glossary,,,
Enable,啟用,启用,glossary,,,
Encapsulation,封裝,封装,glossary,,,
Enter,確認；進入,回車鍵,glossary,,,
Entity,實體,实体,glossary,,,
Enumeration,列舉,枚举,glossary,,,
Equal,相等的,相等的,glossary,,,
Equality,相等性，相等,相等性，相等,glossary,,,
Escape code,跳脫碼，逸出碼，轉義碼,转义码,glossary,,,
Event,事件,事件,glossary,,,
Exception,例外,异常,glossary,,,
Explicit,明確的 (win)；顯式 (mac),显式,glossary,,,
Export,匯出,导出,glossary,,,
Expression,運算式 (win)；表示式 (mac)；表達式,表达式,glossary,,,
Extension,擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac),扩展（程序、功能）,glossary,,,
Extension,副檔名,扩展名,glossary,,,
Feature,特色，特點，特徵,特色，特点,glossary,,,
Feature; (vs. Function),（特殊的）功能,（特殊的）功能,glossary,,,
Feedback,回饋,反馈,glossary,,,
Field,欄位；域,字段，栏位；域,glossary,,,
Filter,過濾器,过滤器,glossary,,,
Find,尋找,查找,glossary,,,
Firmware,韌體,固件,glossary,,,
Flag,旗標,标记,glossary,,,
Flash memory,快閃記憶體,闪存,glossary,,,
Flush,排清，清除,刷新,glossary,,,
Flush (align),對齊，齊平,对齐，齐平,glossary,,,
Folder,資料夾 (win)；檔案夾 (mac),文件夹,glossary,,,
Font,字型 (win)；字體 (mac),字体,glossary,,,
Form,表單,表单,glossary,,,
Format (noun),格式,格式,glossary,,,
Format (verb),格式化,格式化,glossary,,,
Forward,轉發，轉送，轉寄,转发，转送，转寄,glossary,,,
Fragment,片段,片段,glossary,,,
Frame,影格，畫面；框架,帧；框架,glossary,,,
Frame rate; FPS (frames per second),影格率，畫面更新率,帧率,glossary,,,
Framework,框架,框架,glossary,,,
Frozen,（軟體或影片）畫面定格；凍結，鎖定,冻结，锁定,glossary,,,
"Full screen, Fullscreen",全螢幕,全屏,glossary,,,
Function,函式，函數,函数,glossary,,,
Function; (vs. Feature),（一般的）功能,（一般的）功能,glossary,,,
Functionality,功能,功能,glossary,,,
Game,遊戲,游戏,glossary,,,
Gateway,閘道器,网关,glossary,,,
General,一般的,通用的,glossary,,,
Generate,產生，生成,生成,glossary,,,
Generic,通用的,通用的,glossary,,,
Generics,泛型,泛型,glossary,,,
Global,全域的；總體的，整體的，通用的,全局的,glossary,,,
Group box,群組方塊,分组框，群组框,glossary,,,
Graph,圖,图,glossary,,,
Handle,控制代碼,句柄,glossary,,,
Handler,處理常式，處理程式，處理器,处理程序，处理器,glossary,,,
Hardware,硬體,硬件,glossary,,,
Header file,標頭檔,头文件,glossary,,,
Help,使用說明；說明；幫助,帮助,glossary,,,
Hierarchy,階層,层次结构,glossary,,,
High Definition,高解析度，高畫質,高清晰度，高清,glossary,,,
Host file,主機檔案，host 檔案,主机文件,glossary,,,
Home folder,主資料夾 (win)；個人專屬檔案夾 (mac),主文件夹 (win)；个人文件夹 (mac),glossary,,,
Home page,首頁，主頁,主页,glossary,,,
Icon,圖示 (win); 圖像 (mac),图标,glossary,,,
IDE,整合式開發環境,集成开发环境,glossary,,,
Identifier,識別字,标识符,glossary,,,
Idle,閒置,闲置,glossary,,,
Image,影像；圖像，圖片；映像檔,影像；图像，图片；映像,glossary,,,
Immutable,不可變的；無法更改的,不可变的；不可更改的,glossary,,,
Implement,實作,实现,glossary,,,
Implementation,實作（品）,实现,glossary,,,
Implicit,隱含的 (win)；隱式 (mac),隐式,glossary,,,
Import,匯入,导入,glossary,,,
Indent,縮排,缩进,glossary,,,
Info,資訊,简介,glossary,,,
Inheritance,繼承,继承,glossary,,,
Initialization,初始化,初始化,glossary,,,
Inline,行內；內嵌,内联,glossary,,,
Instance,實體；實例,实例,glossary,,,
Integrate,整合,集成,glossary,,,
Integrated,整合式，整合的,集成的,glossary,,,
Integrity,完整性,完整性,glossary,,,
Internal Storage,內部儲存,内存 (仅手机等便携装置，民间称谓),glossary,,,
Internationalization (I18N),國際化,国际化,glossary,,,
Internet,網際網路,互联网,glossary,,,
Interpreter,直譯器,解释器,glossary,,,
Invoke,呼叫 (mac); 執行，叫用 (win),调用,glossary,,,
Iterate,疊代；; 反覆（運算）,迭代；; 重复、循环（访问）,glossary,,,
Iteration,疊代,迭代,glossary,,,
Iterator,疊代器,迭代器,glossary,,,
Kernel,核心,内核,glossary,,,
Key,金鑰，密鑰,密钥,glossary,,,
Keybind,快速鍵,快捷键,glossary,,,
Lag,延遲,延迟,glossary,,,
Layout,布局，配置,布局，配置,glossary,,,
Lazy loading,惰性載入；消極式載入；延遲載入；懶載入,延迟加载；懒加载,glossary,,,
"Lexer, Lexical analyzer",詞法分析器,词法分析器,glossary,,,
Lexical analysis,詞法分析,词法分析,glossary,,,
Library,程式庫，函式庫,程序库，函数库,glossary,,,
Link,連結,链接,glossary,,,
Link time,連結期,链接期,glossary,,,
Linked list,連結串列,链表,glossary,,,
Linker,連結器,链接器,glossary,,,
List,清單；列表,列表,glossary,,,
Listener,監聽器,监听器,glossary,,,
Literals,字面值，定數，常值,字面值，字面量,glossary,,,
Literal constant,字面常數，字面常值,字面常量,glossary,,,
Load,載入,加载,glossary,,,
Load time,載入期,加载期,glossary,,,
Loader,載入器,加载器,glossary,,,
Local,區域的，本地的；本機,局部的，本地的；本地（主機）,glossary,,,
Localization (L10N),在地化,本地化,glossary,,,
Local variable,區域變數,局部变量,glossary,,,
Lock,鎖定,锁定,glossary,,,
Log,記錄,日志,glossary,,,
"Log in, Login",登入,登录,glossary,,,
"Log out, Logout",登出,退出；注销,glossary,,,
Loop,迴圈；重複；循環,循环,glossary,,,
"Map, Mapping",對應；映射,映射,glossary,,,
Match,配對；符合；配合；比對；匹配,匹配,glossary,,,
Memory,記憶體,内存,glossary,,,
Menu,選單；功能表,菜单,glossary,,,
Message,訊息,消息；信息,glossary,,,
Metadata,中繼資料 (win); 後設資料 (mac); 詮釋資料,元数据,glossary,,,
Middleware,中介層，中介軟體,中间件，中间软件,glossary,,,
Mobile,行動,移动,glossary,,,
"Moderate, Moderation",審核,审核,glossary,,,
Modifier,修飾子，修飾詞,修饰符,glossary,,,
Module,模組,模块,glossary,,,
Monomorphism,單型,单态,glossary,,,
Motherboard,主機板,主板,glossary,,,
Mouse,滑鼠,鼠标,glossary,,,
Mouse pointer,滑鼠指標,鼠标指针,glossary,,,
Multitasking,多工（處理）,多任务（处理）,glossary,,,
Mutable,可變的,可变的,glossary,,,
Mutex,互斥,互斥,glossary,,,
Native,原生,原生,glossary,,,
"Navigate, Navigation",導覽,导航,glossary,,,
Navigator,導覽器,导航器,glossary,,,
Nested,巢狀的,嵌套的,glossary,,,
Network,網路,网络,glossary,,,
New,新增,新建,glossary,,,
Notarization,公證,公证,glossary,,,
Object,物件,对象,glossary,,,
Object code,目的碼,目标代码,glossary,,,
Object file,目的檔，目的碼檔,目标文件,glossary,,,
Object-oriented,物件導向,面向对象,glossary,,,
Online,線上,在线,glossary,,,
Operand,運算元,操作数，运算元,glossary,,,
Operating system,作業系統,操作系统,glossary,,,
Operator,運算子,操作符，运算符,glossary,,,
"Optimize, Optimization",最佳化,优化,glossary,,,
Option,選項,参数,glossary,,,
Overflow,溢位（上限溢位）,溢出（上溢出）,glossary,,,
Overlay,嵌入介面,叠加面板,glossary,,,
Overload,多載，覆載，重載,重载,glossary,,,
Override,覆寫，重寫,覆盖，重写,glossary,,,
Pack,封裝，壓縮,打包，压缩,glossary,,,
Package (noun),套件，軟體包,（程序、软件）包,glossary,,,
Package (verb),封裝,打包，封装,glossary,,,
Pane,窗格 (win); 面板 (mac),窗格 (win); 面板 (mac),glossary,,,
Parallelism,平行性，平行,并行性，并行,glossary,,,
Parameter,參數,参数（也称为形式参数，形参）,glossary,,,
Parse,分析；剖析；解析,解析,glossary,,,
Parser,語法剖析器,语法分析器,glossary,,,
Partition,分割；（硬碟）分割區,分割；（硬盘）分区,glossary,,,
Paste,貼上,粘贴,glossary,,,
Patch,更新檔 (win); 修補程式 (mac),补丁 (win); 修补程序 (mac),glossary,,,
Pattern,模式；樣式,模式；样式,glossary,,,
Performance,效能,性能,glossary,,,
Persistence,持續性,持久性,glossary,,,
Photo,照片,照片,glossary,,,
Physical layer,實體層,物理层,glossary,,,
Picklist,挑選清單 (win)；選取列表 (mac),选择列表,glossary,,,
Placeholder,佔位符號，; 預留位置 (win); 暫存區 (mac),占位符,glossary,,,
Pluggability,可拔插性,可插入性,glossary,,,
Plugin,外掛程式 (win); 外掛模組 (mac),插件 擴展,glossary,,,
Pointer,指標,指针,glossary,,,
Polymorphism,多型,多态,glossary,,,
Port,（連接）埠,端口,glossary,,,
Power bank,行動電源,移动电源，充电宝,glossary,,,
Presentation layer,表現層,表示层,glossary,,,
Preset,預設,预设,glossary,,,
Printer,列印機，印表機,打印机,glossary,,,
Procedure,程序,过程,glossary,,,
Process,行程；程序,进程,glossary,,,
Profile,設定檔 (win); 描述檔 (mac),配置文件 (win); 描述文件 (mac),glossary,,,
Profile,評測,评测,glossary,,,
Profile (or Personal profile),個人檔案,个人资料,glossary,,,
Profiler,（效能）分析工具,（性能）分析器,glossary,,,
Project,專案,项目，工程,glossary,,,
Protocol,協定,协议,glossary,,,
"Provision, Provisioning",佈建,预配,glossary,,,
Proxy (or Proxy server),代理伺服器,代理服务器,glossary,,,
Pseudo code,虛擬碼,伪代码,glossary,,,
Pull-down list,下拉式清單,下拉列表,glossary,,,
Quality,品質,质量,glossary,,,
Queue,佇列,队列,glossary,,,
Quit unexpectedly,(App)閃退,意外退出,glossary,,,
Radian,徑度,弧度,glossary,,,
Radio button,選項按鈕 (win); 圓形按鈕 (mac),单选按钮,glossary,,,
RAM (Random Access Memory),隨機存取記憶體,随机存取存储器,glossary,,,
Read,讀取,读,glossary,,,
Read-only,唯讀,只读,glossary,,,
Recovery,復原，還原,还原 (win)，恢复 (mac),glossary,,,
Recursion,遞迴,递归,glossary,,,
"Redirect, Redirection",重新導向；轉址,重定向,glossary,,,
Reference,參照，參考,参考,glossary,,,
Register,暫存器；註冊,寄存器；注册,glossary,,,
Regular expression,正規表示式；正規表示法；正規表達式；規則運算式,正则表达式,glossary,,,
Release,（發行、發布）版本,（发行、发布）版本,glossary,,,
Remote,遠端,远程,glossary,,,
Render,算繪；渲染,渲染,glossary,,,
Resolution,解析度,分辨率,glossary,,,
Response,回應,响应,glossary,,,
Response body,回應本文,响应正文,glossary,,,
Response header,回應標頭,响应头,glossary,,,
Restore,還原 (win)，回復 (mac),还原 (win)，恢复 (mac),glossary,,,
Return,回傳，傳回；恢復,返回；恢复,glossary,,,
"Revoke, Revocation",撤銷,撤销,glossary,,,
Rollback,復原,回滚，回退,glossary,,,
Routine,常式,程序,glossary,,,
Run,執行,运行,glossary,,,
"Runtime, Run-time",執行期；執行環境,运行期，运行时；运行环境,glossary,,,
"Runtime environment (RTE), Runtime system",執行環境；執行系統,运行环境；运行系统,glossary,,,
Sampling,取樣,取样,glossary,,,
Scalar,純量,标量,glossary,,,
Schedule,排程,调度,glossary,,,
Scheduler,排程器，排程程式,调度器，调度程序,glossary,,,
Scope,（作用、有效）範圍，域,（作用、有效）范围，域,glossary,,,
Scroll bar,捲軸,滚动条,glossary,,,
Script,指令碼 (win); 工序指令 (mac),脚本,glossary,,,
SDK (Software Development Kit),軟體開發工具包 (win); 軟體開發套件 (mac),软件开发工具包 (win); 软件开发套件 (mac),glossary,,,
Search engine,搜尋引擎,搜索引擎,glossary,,,
Security,安全性,安全性,glossary,,,
Segment,區段,段,glossary,,,
Semaphore,號誌,信号量,glossary,,,
Server,伺服器,服务器,glossary,,,
Server-side,伺服器端,服务器端，服务端,glossary,,,
Session,工作階段，作業階段,会话,glossary,,,
Session,（電腦網路）對談/話，會談/話；連線階段,会话,glossary,,,
Session layer,會議層,会话层,glossary,,,
Set up,設定,设置,glossary,,,
Settings,設定,设置,glossary,,,
Shortcut,捷徑,快捷,glossary,,,
Shortcut key,快速鍵,快捷键,glossary,,,
"Sign in, sign-in",登入,登录,glossary,,,
"Sign out, sign-out",登出,退出，注销,glossary,,,
Simulation,模擬,模拟,glossary,,,
Signature,簽章；簽名,签名,glossary,,,
Slider,滑桿,滑块,glossary,,,
Smart,智慧,智能,glossary,,,
Smartphone,智慧型手機,智能手机,glossary,,,
SMS (Short Message Service),簡訊,短信,glossary,,,
Snip,擷圖,截图,glossary,,,
Source code,原始碼,源代码，源码,glossary,,,
Stack,堆疊,栈,glossary,,,
Star rating,星級評等 (win); 星號評等 (mac),星级评分,glossary,,,
Statement,敘述，陳述（句）,语句,glossary,,,
Status bar,狀態列,状态栏,glossary,,,
Stepper,步進器,步进器,glossary,,,
Stream,串流；資料流,（数据）流,glossary,,,
String,字串,字符串,glossary,,,
String interpolation,字串插值,字符串插值,glossary,,,
Stuttering,（軟體或影片的畫面）斷斷續續,-,glossary,,,
Subclass,子類別,子类,glossary,,,
Subroutine,副程式,子例程,glossary,,,
Superclass,父類別,超类,glossary,,,
Suspend,暫停（權限）,暂停（权限）,glossary,,,
Synchronize,同步,同步,glossary,,,
Synchronous,同步的,同步的,glossary,,,
Syntactic analysis,語法分析；語法剖析,语法分析,glossary,,,
Tab,索引標籤，分頁，標籤（頁）,标签（页）,glossary,,,
Tag,標記,标签,glossary,,,
Task,工作,任务,glossary,,,
Template,範本,模板,glossary,,,
Text,文字,文本,glossary,,,
Text box,文字框,文本框,glossary,,,
Thread,執行緒,线程,glossary,,,
Top-up,加值，儲值,充值,glossary,,,
Token,標記 (win); 代號 (mac),标记 (win); 令牌 (mac),glossary,,,
Token (security/currency),權杖；代幣,权杖；代币,glossary,,,
Traverse,走訪,遍历,glossary,,,
Tray (or System tray),系統匣,系统托盘,glossary,,,
Tree,樹,树,glossary,,,
Tuple,元組,元组,glossary,,,
Tutorial,教學,教程,glossary,,,
Type,型別，型態,类型,glossary,,,
Universal,通用的,通用的,glossary,,,
Variable,變數,变量,glossary,,,
Video,影片；視訊,视频,glossary,,,
View,檢視；顯示；視圖,查看；顯示；视图,glossary,,,
Voice,語音,语音,glossary,,,
Volume,磁碟區 (win)；卷宗 (mac),卷 (win)；宗卷 (mac),glossary,,,
Widget,視窗元件；小工具,窗口部件；小部件,glossary,,,
Wildcard,萬用字元,通配符,glossary,,,
Workspaces,工作區；工作空間,工作区,glossary,,,
Write,寫入,写,glossary,,,
32-bit architecture,32 位元架構,32 位架構,cross_strait,,,cn 「位」兼作量詞易混淆；tw 用「位元」明確表示 bit
32-bit,32 位元,32位,cross_strait,架構；處理器；CPU；ARM；作業系統；定址；位址,,cn 「位」兼作量詞易混淆；tw 用「位元」明確表示 bit
64-bit architecture,64 位元架構,64 位架構,cross_strait,,,cn 「位」兼作量詞易混淆；tw 用「位元」明確表示 bit
64-bit,64 位元,64位,cross_strait,架構；處理器；CPU；ARM；作業系統；定址；位址,,cn 「位」兼作量詞易混淆；tw 用「位元」明確表示 bit
ultrasound,超音波,B超,cross_strait,檢查；醫院；胎兒；診斷,,
CPU core,CPU 核,CPU核心,cross_strait,,,區分 core (核) 和 kernel (核心)；processor core 譯為「核」
GSM mobile,GSM 行動,GSM移動,cross_strait,,,
Google Toolbar,Google 工具列,Google工具條,cross_strait,,,
PN junction,PN 接面,PN結,cross_strait,,,
SQL injection,SQL 隱碼攻擊,SQL注入,cross_strait,,,
SQL injection attack,SQL 隱碼攻擊,SQL注入攻擊,cross_strait,,,
Sun Microsystems,昇陽電腦,Sun微系統,cross_strait,,,
USB flash drive,隨身碟,U盤,cross_strait,,,
X Window System,X 視窗系統,X Window 系統,cross_strait,,,tw 慣用「視窗」而非直接使用 Window
unary operator,一元運算子,一元操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
everything is a file,一切皆為檔案,一切皆文件,cross_strait,,,"Unix 哲學 'everything is a file'；cn「文件」= file, tw「檔案」= file"
disposable,拋棄式,一次性,cross_strait,,,
one-click,單鍵,一鍵,cross_strait,,,
passing fad,三分鐘熱度,一陣風,cross_strait,,,
nullify all at once,一筆勾銷,一風吹,cross_strait,,,
DINK couple,頂克族,丁克夫妻,cross_strait,,,
7-day return policy,七天鑑賞期,七天無理由,cross_strait,退貨；退款；購物；消費,,
ternary tree,三元樹,三叉樹,cross_strait,程式；軟體；系統；電腦；網路,,
salmon,鮭魚,三文魚,cross_strait,,,
triode,三極體,三極管,cross_strait,,,
netbook,小筆電,上網本,cross_strait,程式；軟體；系統；電腦；網路,,
underline/underscore,底線,下劃線,cross_strait,文字；格式；字元；CSS；HTML；樣式,,
dropdown menu,下拉式選單,下拉菜單,cross_strait,,,
subscript operator,下標運算子,下標操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
underflow,下限溢位,下溢,cross_strait,,,
download file,下載檔案,下載文件,cross_strait,,,
parallel port,平行埠,並口,cross_strait,,,
concurrency,並行,並發,cross_strait,,,並行 = 同時進行，源自《禮記·中庸》:「萬物並育而不相害，道並行而不相悖」。「併發」指「同時發生」(如併發症)，語意不同 (@seealso 並行)
concurrent execution,並行執行,並發執行,cross_strait,,,tw: 並行=concurrency；「並發」為 cn 用法 (@seealso 並發)
parallelism,平行,並行,cross_strait,多核；多處理器；GPU；SIMD；MIMD；加速；吞吐量；向量化,,"tw: 並行=concurrency, 平行=parallelism。僅在 parallelism 語境替換"
parallel execution,平行執行,並行執行,cross_strait,多核；多處理器；GPU；SIMD；MIMD；加速；吞吐量；向量化,並發,tw: 平行=parallelism；僅在 parallelism 語境替換 (@seealso 並行)
parallel computing,平行運算,並行計算,cross_strait,,,
union (set theory),聯集,並集,cross_strait,,,
neutrino,微中子,中微子,cross_strait,粒子；物理；衰變；質量；振盪；費米；弱交互作用；輻射,,
middleware,中介層；中介軟體,中間件,cross_strait,,,架構層次概念 vs 軟體產品 (如 message broker)
serial port,串列埠；序列埠,串口,cross_strait,,,
serial,序列,串行,cross_strait,,,
serial port,序列埠,串行端口,cross_strait,,,
master boot record (MBR),主開機記錄,主引導記錄,cross_strait,,,
main thread,主執行緒,主線程,cross_strait,,,
homepage,首頁,主頁,cross_strait,網站；瀏覽器；網頁；URL；連結,,限網站語境，社群媒體 profile page 不適用
Chad,查德,乍得,cross_strait,,,@geo country (國名)
speechless / absurd,沒救了；無言,也是醉了,cross_strait,,,
Yemen,葉門,也門,cross_strait,,,@geo country (國名)
transaction,交易,事務,cross_strait,資料庫；SQL；commit；回滾；ACID；交易,,一般用法「事務」(affairs) 為正確 tw 用法
binary operator,二元運算子,二元操作符,cross_strait,運算；表達式；運算子；C++；編譯；程式；語法,,
binary search,二分搜尋法,二分查找,cross_strait,,,
binary tree,二元樹,二叉樹,cross_strait,,,
pre-owned house,中古屋,二手房,cross_strait,,,
diode,二極體,二極管,cross_strait,,,
loafer / hoodlum,流氓,二流子,cross_strait,,,
QR code,二維條碼,二維碼,cross_strait,,,
binary,二進位；二進位制,二進制,cross_strait,,,
Internet,網際網路,互聯網,cross_strait,,,
grade-separated interchange,交流道,互通式立交,cross_strait,,,
subpixel,子像素,亞像素,cross_strait,,,
interact,互動,交互,cross_strait,介面；接口；UI；使用者；用戶；設計；網頁；操作,,限 HCI/UI 語境。「交互連接」(interconnect) 和「交互作用」(interaction/effect) 為正確用法
interactive,互動式,交互式,cross_strait,,,
switch,交換器,交換機,cross_strait,網路；路由；封包；VLAN,,
shelter-style station,候車亭,亭式車站,cross_strait,,,
flip-flops,夾腳拖,人字拖,cross_strait,,,
artificial neural (network),類神經,人工神經,cross_strait,,,
face recognition,臉部辨識,人臉識別,cross_strait,,,
pedestrian crossing,斑馬線,人行橫道,cross_strait,,,
Fairchild Semiconductor,快捷半導體,仙童半導體,cross_strait,,,
