en,tw,cn
Derived class,衍生類別,派生类
Design pattern,設計模式,设计模式
Destructor,解構式，解構函式,析构函数
"Detect, Detection",偵測,检测
Device,裝置,设备
Dialog,對話方塊 (win)；對話框 (mac),对话框
Digital,數位的；數位化,数字的；数字化
Digital signature,數位簽章,数字签名
Digital certificate,數位憑證,数字证书
Directory,目錄,目录
Disk,碟,盘
Disk image,磁碟映像檔,磁盘映像
Dispatch,分派,分派；调度
Distributed,分散式,分布式
"Distribute, Distribution",分發；分配；分散,分发；分配；分布
Distribution,發布/發行（版本）；發行套件,发行（版本）
Document,文件,文档；文稿
Domain,網域,域
Driver,驅動程式,驱动程序
"Drop-down, Dropdown (noun)",下拉式選單,下拉菜单
"Drop-down, Dropdown (verb)",下拉,下拉
Drop-down menu,下拉式功能表 (win)；下拉式選單 (mac),下拉菜单 (win/mac)
Drop-down list,下拉式清單,下拉列表
Dynamic binding,動態繫結，動態連結，動態綁定,动态绑定
Element,元素；元件,元素；元件
"Email, E-mail",電子郵件,电子邮件
Enable,啟用,启用
Encapsulation,封裝,封装
Enter,確認；進入,回車鍵
Entity,實體,实体
Enumeration,列舉,枚举
Equal,相等的,相等的
Equality,相等性，相等,相等性，相等
Escape code,跳脫碼，逸出碼，轉義碼,转义码
Event,事件,事件
Exception,例外,异常
Explicit,明確的 (win)；顯式 (mac),显式
Export,匯出,导出
Expression,運算式 (win)；表示式 (mac)；表達式,表达式
Extension,擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac),扩展（程序、功能）
Extension,副檔名,扩展名
Feature,特色，特點，特徵,特色，特点
Feature; (vs. Function),（特殊的）功能,（特殊的）功能
Feedback,回饋,反馈
Field,欄位；域,字段，栏位；域
File,檔案,文件
File system,檔案系統,文件系統
Filter,過濾器,过滤器
Find,尋找,查找
Firmware,韌體,固件
Flag,旗標,标记
Flash memory,快閃記憶體,闪存
Flush,排清，清除,刷新
對齊，齊平,对齐，齐平,
Folder,資料夾 (win)；檔案夾 (mac),文件夹
Font,字型 (win)；字體 (mac),字体
Form,表單,表单
Format (noun),格式,格式
Format (verb),格式化,格式化
Forward,轉發，轉送，轉寄,转发，转送，转寄
Fragment,片段,片段
Frame,影格，畫面；框架,帧；框架
Frame rate; FPS (frames per second),影格率，畫面更新率,帧率
Framework,框架,框架
Frozen,（軟體或影片）畫面定格；凍結，鎖定,冻结，锁定
"Full screen, Fullscreen",全螢幕,全屏
Function,函式，函數,函数
Function; (vs. Feature),（一般的）功能,（一般的）功能
Functionality,功能,功能
Game,遊戲,游戏
Gateway,閘道器,网关
General,一般的,通用的
Generate,產生，生成,生成
Generic,通用的,通用的
Generics,泛型,泛型
Global,全域的；總體的，整體的，通用的,全局的
Group box,群組方塊,分组框，群组框
Graph,圖,图
Handle,控制代碼,句柄
Handler,處理常式，處理程式，處理器,处理程序，处理器
Hardware,硬體,硬件
Hash,雜湊,哈希
Header file,標頭檔,头文件
Heap,堆積,堆
Help,使用說明；說明；幫助,帮助
Hierarchy,階層,层次结构
High Definition,高解析度，高畫質,高清晰度，高清
Host file,主機檔案，host 檔案,主机文件
Home folder,主資料夾 (win)；個人專屬檔案夾 (mac),主文件夹 (win)；个人文件夹 (mac)
Home page,首頁，主頁,主页
Icon,圖示 (win); 圖像 (mac),图标
IDE,整合式開發環境,集成开发环境
Identifier,識別字,标识符
Idle,閒置,闲置
Image,影像；圖像，圖片；映像檔,影像；图像，图片；映像
Immutable,不可變的；無法更改的,不可变的；不可更改的
Implement,實作,实现
Implementation,實作（品）,实现
Implicit,隱含的 (win)；隱式 (mac),隐式
Import,匯入,导入
Indent,縮排,缩进
Info,資訊,简介
Information,資訊,信息
Inheritance,繼承,继承
Initialization,初始化,初始化
Inline,行內；內嵌,内联
Instance,實體；實例,实例
Integrate,整合,集成
Integrated,整合式，整合的,集成的
Integrity,完整性,完整性
"Interact, Interaction",互動,交互
Interface,介面,接口
Internal Storage,內部儲存,内存 (仅手机等便携装置，民间称谓)
Internationalization (I18N),國際化,国际化
Internet,網際網路,互联网
Interpreter,直譯器,解释器
Invoke,呼叫 (mac); 執行，叫用 (win),调用
Iterate,疊代；; 反覆（運算）,迭代；; 重复、循环（访问）
Iteration,疊代,迭代
Iterator,疊代器,迭代器
Kernel,核心,内核
Key,金鑰，密鑰,密钥
Keybind,快速鍵,快捷键
Lag,延遲,延迟
Layout,布局，配置,布局，配置
Lazy loading,惰性載入；消極式載入；延遲載入；懶載入,延迟加载；懒加载
"Lexer, Lexical analyzer",詞法分析器,词法分析器
Lexical analysis,詞法分析,词法分析
Library,程式庫，函式庫,程序库，函数库
Link,連結,链接
Link time,連結期,链接期
Linked list,連結串列,链表
Linker,連結器,链接器
List,清單；列表,列表
Listener,監聽器,监听器
Literals,字面值，定數，常值,字面值，字面量
Literal constant,字面常數，字面常值,字面常量
Load,載入,加载
Load time,載入期,加载期
Loader,載入器,加载器
Local,區域的，本地的；本機,局部的，本地的；本地（主機）
Localization (L10N),在地化,本地化
Local variable,區域變數,局部变量
Lock,鎖定,锁定
Log,記錄,日志
"Log in, Login",登入,登录
"Log out, Logout",登出,退出；注销
Loop,迴圈；重複；循環,循环
"Map, Mapping",對應；映射,映射
Match,配對；符合；配合；比對；匹配,匹配
Macro,巨集,宏
Memory,記憶體,内存
Menu,選單；功能表,菜单
Message,訊息,消息；信息
Metadata,中繼資料 (win); 後設資料 (mac); 詮釋資料,元数据
Middleware,中介層，中介軟體,中间件，中间软件
Mobile,行動,移动
"Moderate, Moderation",審核,审核
Modifier,修飾子，修飾詞,修饰符
Module,模組,模块
Monomorphism,單型,单态
Motherboard,主機板,主板
Mouse,滑鼠,鼠标
Mouse pointer,滑鼠指標,鼠标指针
Multitasking,多工（處理）,多任务（处理）
Mutable,可變的,可变的
Mutex,互斥,互斥
Native,原生,原生
"Navigate, Navigation",導覽,导航
Navigator,導覽器,导航器
Nested,巢狀的,嵌套的
Network,網路,网络
New,新增,新建
Notarization,公證,公证
Object,物件,对象
Object code,目的碼,目标代码
Object file,目的檔，目的碼檔,目标文件
Object-oriented,物件導向,面向对象
Online,線上,在线
Operand,運算元,操作数，运算元
Operating system,作業系統,操作系统
Operator,運算子,操作符，运算符
"Optimize, Optimization",最佳化,优化
Option,選項,参数
Overflow,溢位（上限溢位）,溢出（上溢出）
Overlay,嵌入介面,叠加面板
Overload,多載，覆載，重載,重载
Override,覆寫，重寫,覆盖，重写
Pack,封裝，壓縮,打包，压缩
Package (noun),套件，軟體包,（程序、软件）包
Package (verb),封裝,打包，封装
Pane,窗格 (win); 面板 (mac),窗格 (win); 面板 (mac)
Parallelism,平行性，平行,并行性，并行
Parameter,參數,参数（也称为形式参数，形参）
Parse,分析；剖析；解析,解析
Parser,語法剖析器,语法分析器
Partition,分割；（硬碟）分割區,分割；（硬盘）分区
Paste,貼上,粘贴
Patch,更新檔 (win); 修補程式 (mac),补丁 (win); 修补程序 (mac)
Pattern,模式；樣式,模式；样式
Performance,效能,性能
Persistence,持續性,持久性
Photo,照片,照片
Physical layer,實體層,物理层
Picklist,挑選清單 (win)；選取列表 (mac),选择列表
Placeholder,佔位符號，; 預留位置 (win); 暫存區 (mac),占位符
Pluggability,可拔插性,可插入性
Plugin,外掛程式 (win); 外掛模組 (mac),插件 擴展
Pointer,指標,指针
Polymorphism,多型,多态
Port,（連接）埠,端口
Power bank,行動電源,移动电源，充电宝
Presentation layer,表現層,表示层
Preset,預設,预设
Print,列印,打印
Printer,列印機，印表機,打印机
Procedure,程序,过程
Process,行程；程序,进程
Profile,設定檔 (win); 描述檔 (mac),配置文件 (win); 描述文件 (mac)
Profile,評測,评测
Profile (or Personal profile),個人檔案,个人资料
Profiler,（效能）分析工具,（性能）分析器
Program,程式,程序
Project,專案,项目，工程
Protocol,協定,协议
"Provision, Provisioning",佈建,预配
Proxy (or Proxy server),代理伺服器,代理服务器
Pseudo code,虛擬碼,伪代码
Pull-down list,下拉式清單,下拉列表
Quality,品質,质量
Queue,佇列,队列
Quit unexpectedly,(App)閃退,意外退出
Radian,徑度,弧度
Radio button,選項按鈕 (win); 圓形按鈕 (mac),单选按钮
RAM (Random Access Memory),隨機存取記憶體,随机存取存储器
Read,讀取,读
Read-only,唯讀,只读
Recovery,復原，還原,还原 (win)，恢复 (mac)
Recursion,遞迴,递归
"Redirect, Redirection",重新導向；轉址,重定向
Reference,參照，參考,参考
Register,暫存器；註冊,寄存器；注册
Regular expression,正規表示式；正規表示法；正規表達式；規則運算式,正则表达式
Release,（發行、發布）版本,（发行、发布）版本
Remote,遠端,远程
Render,算繪；渲染,渲染
Resolution,解析度,分辨率
Response,回應,响应
Response body,回應本文,响应正文
Response header,回應標頭,响应头
Restore,還原 (win)，回復 (mac),还原 (win)，恢复 (mac)
Return,回傳，傳回；恢復,返回；恢复
"Revoke, Revocation",撤銷,撤销
Rollback,復原,回滚，回退
Routine,常式,程序
Run,執行,运行
"Runtime, Run-time",執行期；執行環境,运行期，运行时；运行环境
"Runtime environment (RTE), Runtime system",執行環境；執行系統,运行环境；运行系统
Save,儲存,保存
Sampling,取樣,取样
Scalar,純量,标量
Schedule,排程,调度
Scheduler,排程器，排程程式,调度器，调度程序
Scope,（作用、有效）範圍，域,（作用、有效）范围，域
Scroll bar,捲軸,滚动条
Script,指令碼 (win); 工序指令 (mac),脚本
SDK (Software Development Kit),軟體開發工具包 (win); 軟體開發套件 (mac),软件开发工具包 (win); 软件开发套件 (mac)
Search engine,搜尋引擎,搜索引擎
Security,安全性,安全性
Segment,區段,段
Semaphore,號誌,信号量
Server,伺服器,服务器
Server-side,伺服器端,服务器端，服务端
Session,工作階段，作業階段,会话
Session,（電腦網路）對談/話，會談/話；連線階段,会话
Session layer,會議層,会话层
Set up,設定,设置
Settings,設定,设置
Shortcut,捷徑,快捷
Shortcut key,快速鍵,快捷键
"Sign in, sign-in",登入,登录
"Sign out, sign-out",登出,退出，注销
Silicon,矽,硅
Simulation,模擬,模拟
Signature,簽章；簽名,签名
Slider,滑桿,滑块
Smart,智慧,智能
Smartphone,智慧型手機,智能手机
SMS (Short Message Service),簡訊,短信
Snip,擷圖,截图
Source code,原始碼,源代码，源码
Stack,堆疊,栈
Star rating,星級評等 (win); 星號評等 (mac),星级评分
Statement,敘述，陳述（句）,语句
Status bar,狀態列,状态栏
Stepper,步進器,步进器
Stream,串流；資料流,（数据）流
String,字串,字符串
String interpolation,字串插值,字符串插值
Stuttering,（軟體或影片的畫面）斷斷續續,-
Subclass,子類別,子类
Subroutine,副程式,子例程
Superclass,父類別,超类
Support,支援,支持
Suspend,暫停（權限）,暂停（权限）
Synchronize,同步,同步
Synchronous,同步的,同步的
Syntactic analysis,語法分析；語法剖析,语法分析
Tab,索引標籤，分頁，標籤（頁）,标签（页）
Tag,標記,标签
Task,工作,任务
Template,範本,模板
Text,文字,文本
Text box,文字框,文本框
Thread,執行緒,线程
Top-up,加值，儲值,充值
Token,標記 (win); 代號 (mac),标记 (win); 令牌 (mac)
權杖；代幣,权杖；代幣,
Traverse,走訪,遍历
Tray (or System tray),系統匣,系统托盘
Tree,樹,树
Tuple,元組,元组
Tutorial,教學,教程
Type,型別，型態,类型
Universal,通用的,通用的
Variable,變數,变量
Video,影片；視訊,视频
View,檢視；顯示；視圖,查看；顯示；视图
Voice,語音,语音
Volume,磁碟區 (win)；卷宗 (mac),卷 (win)；宗卷 (mac)
Window,視窗,窗口
Widget,視窗元件；小工具,窗口部件；小部件
Wildcard,萬用字元,通配符
Workspaces,工作區；工作空間,工作区
Write,寫入,写
